م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
84,توريد أدوات سلامة لمركز التشغيل والصيانة بالقوة البحرية بجازان,القوات البحرية,250239005956,45 يوم,لوجستي,-265,لن يتم التقديم,12-Jan-25,12-Jan-25,28-Feb-25,الخدمات,,,,,,,,,,,,,,,,,,,,,
85,تأمين مواد ومستلزمات نجارة بمكتب الإدارة الهندسية والأشغال بجازان,قوات الدفاع الجوي,250239002986,20 يوم,لوجستي,-267,لن يتم التقديم,12-Jan-25,12-Jan-25,26-Feb-25,التجارة,,,,,,,,,,,,,,,,,,,,,
86,تجهيز وتأثيث مراكز الرصد الجوي,القوات الجويةالقوات الجوية,250139000864,3 شهر,لوجستي,-260,لن يتم التقديم,12-Jan-25,12-Jan-25,05-Mar-25,التجارة,,,,,,,,,,,,,,,,,,,,,
87,"توريد قطع غيار (INST,ANALYSERS) لإدارة الابحاث والتقنيات الواعدة للمياه بالجبيل -60016789",المؤسسة العامة لتحلية المياه المالحة,250139012945,1 سنة,لوجستي,-267,لن يتم التقديم,12-Jan-25,12-Jan-25,26-Feb-25,التجارة,,,,,,,,,,,,,,,,,,,,,
88,توريد مواد وقطع غيار ادوات مختبرات لمنظومة انتاج مياه الليث بالساحل الغربي,الهيئة السعودية للمياه,250239005791,180 يوم,لوجستي,-264,لن يتم التقديم,13-Feb-25,13-Feb-25,01-Mar-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
89,توريد المواد وقطع الغيار مساميرالهيئة السعودية للمياه منظومة انتاج الشعيبة - الساحل الغربي.,الهيئة السعودية للمياه,250239006928,180 يوم,لوجستي,-264,لن يتم التقديم,13-Feb-25,13-Feb-25,01-Mar-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
90,توريد وتركيب أعمال تأثيث بمركز الزوار بمركز الأمير سعود لأبحاث الحياة الفطرية بالطائف,"
المركز الوطني لتنمية الحياة الفطرية",250239008554,"
3 شهر",لوجستي,-264,لن يتم التقديم,13-Feb-25,13-Feb-25,01-Mar-25,صُنع الأثاث,,,,,,,,,,,,,,,,,,,,,
91,تأمين وتوريد أعلاف وأدوات فروسية وأدوية بيطرية للخيول,قوة الصواريخ الاستراتيجية,250239008490,12 شهر,لوجستي,-260,لن يتم التقديم,13-Feb-25,13-Feb-25,05-Mar-25,"تجارة المواد الغذائية
مستودعات الادوية والصيدليات - الأدوية
مستودعات الادوية والصيدليات - المستلزمات الطبية
أنشطة بيطرية",,,,,,,,,,,,,,,,,,,,,
92,توريد مواد الري لمحطة الابحاث والتجارب الزراعية بديراب,جامعة الملك سعود,250239006456,2 شهر,لوجستي,-271,لن يتم التقديم,13-Feb-25,13-Feb-25,22-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
93,توريد أسمدة زراعية متنوعة للحدائق,بلدية محافظة املج,250239005765,20 يوم,لوجستي,-266,لن يتم التقديم,11-Feb-25,13-Feb-25,27-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
94,صيانة ومعالجة إنجيله ملاعب المدارس,رئاسة هيئة الأركان العامة,250239010031,150 يوم,لوجستي,-260,لن يتم التقديم,17-Feb-25,18-Feb-25,05-Mar-25,"تجارة المواد الغذائية
أنشطة زراعية
الخدمات الرياضية",,,,,,,,,,,,,,,,,,,,,
95,توريد اسمدة ومبيدات زراعية /بلدية محافظة الرس,بلدية محافظة الرس,250239005441,90 يوم,لوجستي,-267,لن يتم التقديم,10-Feb-25,18-Feb-25,26-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
96,توريد وتركيب ثيل طبيعي للمنتزه العام بمركز شري,بلدية شري,241139000139,30 يوم,لوجستي,-267,لن يتم التقديم,10-Feb-25,18-Feb-25,26-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
97,تأمين مواد ومبيدات زراعية وبيئية وبيطرية ومخبرية لمختبرات الغذاء بأمانة العاصمة المقدسة 2025م,أمانة العاصمة المقدسة,250139005521,1 سنة,لوجستي,-266,لن يتم التقديم,11-Feb-25,18-Feb-25,27-Feb-25,تجارة المواد الكيماوية,,,,,,,,,,,,,,,,,,,,,
98,تامين وتوريد مواد بترولية (بنزين 91- ديزل),بلدية البرك,250239011757,1 سنة,لوجستي,-259,لن يتم التقديم,18-Feb-25,18-Feb-25,06-Mar-25,البترول,,,,,,,,,,,,,,,,,,,,,
99,تأمين مستلزمات زراعية بجامعة الملك عبدالعزيز بجدة,جامعة الملك عبدالعزيز,250239012252,2 شهر,لوجستي,-257,لن يتم التقديم,20-Feb-25,20-Feb-25,08-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
100,عقد توريد وتركيب نباتات موسمية,قوات الدفاع الجوي,250239012959,1 سنة,لوجستي,-269,لن يتم التقديم,19-Feb-25,20-Feb-25,24-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
101,"استئجار عدد (269) مركبة مختلفة الأنواع للمهام الأمنية بمحمية الملك سلمان الملكية (الخنفه، الطبيق، حرة الحرة)",القوات الخاصة للأمن البيئي,250239004106,36 شهر,لوجستي,-273,لن يتم التقديم,20-Feb-25,20-Feb-25,20-Feb-25,"الخدمات
خدمات التأجير",,,,,,,,,,,,,,,,,,,,,
102,مواد ومستلزمات إدارة حماية ومراقبة البيئة - قسم جودة الهواء,الادارة العامة لمشروع ينبع,250239002908,140 يوم,لوجستي,-255,لن يتم التقديم,20-Feb-25,24-Feb-25,10-Mar-25,تجارة الأدوات والآلات والأجهزة (توريد جهازين توليد هواء نقي),,,,,,,,,,,,,,,,,,,,,
103,توريد مواد و أدوات لمشتل الهيئة الملكية لعام 2025م,الادارة العامة لمشروع ينبع,250239018168,120 يوم,لوجستي,-221,لن يتم التقديم,16-Mar-25,16-Mar-25,13-Apr-25,"تجارة الأدوات والآلات والأجهزة
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
104,توريد إسمدة زراعية,بلدية عقلة الصقور,250339010043,15 يوم,لوجستي,-246,لن يتم التقديم,16-Mar-25,16-Mar-25,19-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
105,تنظيم وتنفيذ منتدى الثورة الصناعية الرابعة النسخة الثالثة,مدينة الملك عبدالعزيز للعلوم والتقنية,241239014400,6 أشهر,شركة الطرق الثلاث,-290,لم يتم التقديم - لم يتم استلام العرض,01-Jan-25,05-Jan-25,03-Feb-25,أنشطة المعارض والمؤتمرات,,,,,,,,,,,,,,,,,,,,,
106,توريد مواد سباكة وكهرباء لصيانة مباني المركز الوطني لتنمية الحياة الفطرية,المركز الوطني لتنمية الحياة الفطرية,250139001391,30 يوم,المقاولات,-305,لن يتم التقديم,06-Jan-25,06-Jan-25,19-Jan-25,تجارة مواد البناء والأدوات الكهربائية والصحية,,,,,,,,,,,,,,,,,,,,,
107,تصميم وتنفيذ مراكز إنطلاق الجوالين لهيئة تطوير محمية الإمام تركي بن عبدالله الملكية,محمية الإمام تركي بن عبدالله,250339008828,18 شهر,المقاولات,-218,لن يتم التقديم,16-Mar-25,16-Mar-25,16-Apr-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
108,دراسة استشارية لتطوير معايير الإضاءة بمستشفى الملك خالد التخصصي للعيون ومركز الابحاث,مستشفى الملك خالد التخصصي للعيون,250339004131,120 يوم,الاستدامة,-227,لن يتم التقديم,09-Mar-25,18-Mar-25,07-Apr-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
109,نقل وايواء الماشية السائبة لموسم حج 1446 هـ بمكة المكرمة,وزارة البيئة والمياه والزراعة,250239014267,50 يوم,البيطرة,-257,الملغاة,20-Feb-25,20-Feb-25,08-Mar-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
110,إعداد دراسة إعادة تأهيل لمحطات الوقود المهجورة في المملكة,المركز الوطني للرقابة على الالتزام البيئي,250139014266,1 سنة,الاستدامة,-262,لم يتم التقديم - لم يتم التعميد,30-Jan-25,30-Jan-25,03-Mar-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
111,مشروع استبدال وتحسين الاثر البيئي لوحدات إنتاج المياه المحلاة لمنظومة إنتاج الشعيبة ( المرحلة الثانية ),الهيئة السعودية للمياه,241239004354,30 شهر,المقاولات,-314,لن يتم التقديم,10-Dec-24,10-Dec-24,10-Jan-25,مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
112,تنفيذ محطات تنقية مصغرة (حزمة 1),المؤسسة العامة لتحلية المياه المالحة,250139012440,6 شهر,شركة المصادر,-249,لن يتم التقديم,12-Jan-25,12-Jan-25,16-Mar-25,الإنشاءات والعقارات,,,,,,,,,,,,,,,,,,,,,
113,دراسة بيئية لمحطات معالجة مياه الصرف الصحي بالقطاع الغربي,وكالة الحرس الوطني القطاع الغربي,250239011103,12 شهر,الاستدامة,-256,لم يتم التقديم - لم يتم التعميد,18-Feb-25,18-Feb-25,09-Mar-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
114,مشروع الخدمات البيئية في محمية الملك خالد الملكية,محمية الإمام عبدالعزيز بن محمد,250239008553,1095 يوم,البيئة,-250,لن يتم التقديم,12-Feb-25,13-Feb-25,15-Mar-25,"الخدمات البيئية
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
115,صيانة الحدائق والمسطحات الخضراء وشبكات الري لبلدية محافظة رياض الخبراء والقرى التابعة لها.,بلدية محافظة رياض الخبراء,250139013309,3 سنة,المقاولات,-201,لن يتم التقديم,02-Feb-25,05-Feb-25,03-May-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
116,تقديم المساندة الفنية لمشاريع مركز الحرب الجوي بالقطاع الشرقي,القوات الجوية,250239013821,36 شهر,المقاولات,-252,لن يتم التقديم,25-Feb-25,26-Feb-25,13-Mar-25,انشطة الاستشارات الهندسية- اشراف,,,,,,,,,,,,,,,,,,,,,
117,أعمال الصيانة والتشغيل والنظافة (فرع هيئة الهلال الأحمر السعودي بمنطقة جازان والمباني والمراكز التابعة لها),هيئة الهلال الأحمر السعودي,250239016710,36 شهر,المقاولات,-237,لن يتم التقديم,25-Feb-25,26-Feb-25,28-Mar-25,الإنشاءات والعقارات,,,,,,,,,,,,,,,,,,,,,
118,مشروع انشاء مداخل واسوار لسوق الإبل بالطوقي بحريملاء,أمانة منطقة الرياض,241139018753,12 شهر,المقاولات,-322,لن يتم التقديم,02-Dec-24,02-Dec-24,02-Jan-25,,,,,,,,,,,,,,,,,,,,,,
119,توريد وتركيب شبكة ري لحاجة اسكان قطاع الشعبة التابع لقيادة حرس الحدود بمنطقة الحدود الشمالية,حرس الحدود,241239013868,30 يوم,المقاولات,,لن يتم التقديم,31-Dec-24,06-Jan-25,16-Jan-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
120,انشاء ميز عام للادارة العامة للاسلحة والمدخرات,رئاسة هيئة الأركان العامة,250239016913,270 يوم, المقاولات,-226,لن يتم التقديم,25-Feb-25,25-Feb-25,08-Apr-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
121,دورات تدريبية وتطويرية لمنسوبي فرع وزارة الصحة بمنطقة الرياض لعام 2025م,المديرية العامة للشؤون الصحية بمنطقة الرياض,250239018710,4 شهر,المعهد,-251,لن يتم التقديم,03-Mar-25,05-Mar-25,14-Mar-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
122,تنفيذ دورات تدريبية إدارة وفنية لمنسوبي تجمع القصيم الصحي,التجمع الصحي بمنطقة القصيم,250339002353,6 شهر,المعهد,-245,لن يتم التقديم,04-Mar-25,05-Mar-25,20-Mar-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
